jid,x,y,hex_color,distance_to_disc_center,jname
04F7366B,0.2708469270985629,0.2627248516838158,#ffff0c,0.16541099548339844,Netherlands Journal of Social Sciences
0061D254,0.4034931891281461,0.8988836983778926,#FF6600,0.4856562614440918,Tectonics
06D3E839,0.6158781378676806,0.3389429000855981,#8B6508,0.3040946125984192,Ethnicity & Disease
05721652,0.4782634879728361,0.8387318289803841,#2dffff,0.38410496711730957,Proceedings of The Institution of Civil Engineers-water Management
077B006D,0.17376276811247438,0.5544065724367653,#fb01ff,0.32157570123672485,Applied Artificial Intelligence
054BF7E6,0.1697980460707703,0.30734650685105386,#EE9A00,0.12854784727096558,History of Political Thought
0A778BCA,0.7646360377524778,0.5457440279119117,#FF0000,0.6989248692989349,Molecular Cell Biology Research Communications
01B010D3,0.49418011566743,0.8945586452581528,#20c157,0.4291152358055115,Boreal Environment Research
01CFEC8D,0.2462599562007118,0.4958577703771523,#ffff0c,0.24180203676223755,International Journal of Innovation and Learning
020873D8,0.8157557235166862,0.27971510060890203,#FF0000,0.7030492126941681,Journal of Endovascular Therapy
05562B98,0.4491642655317779,0.08603416294334111,#ffff0c,0.5213309228420258,Journal of Special Education
08485B5E,0.4963564492837313,0.5087621780491574,#fb01ff,0.7266234457492828,Computer Methods and Programs in Biomedicine
0517F9EA,0.13813235489917802,0.3638399346360199,#ffff0c,0.618054062128067,World Development
0C64D9E8,0.5161036984351519,0.7962022508214159,#2dffff,0.6229812502861023,Critical Reviews in Environmental Science and Technology
0416785B,0.4143681728278949,0.8817305988995371,#FF6600,0.5100112855434418,Geothermics
0AD1BC4D,0.14581629792989814,0.4359604872185581,#ffff0c,0.3607552647590637,Spanish Economic Review
0C557BAC,0.12887808991294572,0.5417938664263308,#fb01ff,0.4211156368255615,Journal of Visual Languages and Computing
0984F0BA,0.7444303310921975,0.6216581808790562,#8B0000,0.6541531682014465,Briefings in Functional Genomics
08E68739,0.5585129814883327,0.7571196785520693,#2dffff,0.605752021074295,Journal of Wood Chemistry and Technology
0322EE6E,0.9960984930912704,0.4483536966708153,#FF0000,0.5635114908218384,Canadian Respiratory Journal
0AD72E90,0.7654476619510316,0.2401635887760745,#FF0000,0.4927557706832886,Hellenic Journal of Nuclear Medicine
07679AE1,0.4517072741328218,0.7907958967092404,#0001fa,0.7204143404960632,Particulate Science and Technology
0989ED1D,0.5956693037497979,0.2951027682844586,#8B6508,0.3628886342048645,Health Care Management Review
036BD18F,0.6440613483382748,0.8513912207478982,#20c157,0.3209550380706787,Australian Systematic Botany
0AA3E7E9,0.3742939904715856,0.512068666701226,#ffff0c,0.4191995859146118,Nomadic Peoples
01ACA8CE,0.9042861196608746,0.2153729906592103,#FF0000,0.4201529026031494,Digestion
0AD15F31,0.15341026169987626,0.4861456762735461,#ffff0c,0.5072315335273743,Experimental Economics
02FFB080,0.2649812315592271,0.7366291661447417,#2dffff,0.4543079733848572,Acta Acustica United With Acustica
05369BE3,0.28054757104444794,0.6954104038986995,#2dffff,0.7285101413726807,Bioinspiration & Biomimetics
036D71CE,0.8829086496473577,0.5535397815335639,#8B0000,0.4798809289932251,Journal of Clinical Immunology
083C4E3C,0.6142739074581816,0.8941660513330525,#20c157,0.5033770799636841,Journal of Evolutionary Biology
06CDA6F4,0.27305475739577945,0.7636316199003597,#2dffff,0.6030871570110321,Journal of Propulsion and Power
0491B681,0.22002879816094306,0.2815798355595369,#ffff0c,0.30866897106170654,Journal of Contemporary African Studies
08B163A8,0.21836009395422729,0.765732738638467,#2dffff,0.48492431640625,Finite Elements in Analysis and Design
0950A849,0.5131469359426893,0.7580515307197919,#2dffff,0.656663179397583,Journal of The Taiwan Institute of Chemical Engineers
0902C3E2,0.4633528133831579,0.7242417167430549,#0001fa,0.41705411672592163,Acta Polymerica Sinica
037597D8,0.4471473232086001,0.9372965377699486,#FF6600,0.17592906951904297,Developments in Quaternary Science
04B1428A,0.7527517067606877,0.5185852021459431,#8B0000,0.7982236742973328,Histochemistry and Cell Biology
03C08823,0.666469456545209,0.530403723610227,#FF0000,0.745733380317688,Molecular Pharmacology
02AA5536,0.5769340494432995,0.4313810226800804,#8B6508,0.9059275835752487,Archives of Oral Biology
0AB3F839,0.4524071806734274,0.9044512563480476,#FF6600,0.18815714120864868,Frontiers of Earth Science in China
02E8D3D4,0.5451276506257424,0.9622889103075182,#20c157,0.39731037616729736,Journal of Shellfish Research
0290CF82,0.5502722238315195,0.2546374634490697,#8B6508,0.43167275190353394,Literature and Medicine
0734704D,0.7856671855070958,0.1907105206695098,#fb01ff,0.7591992169618607,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control
09B727AA,0.16680104368540452,0.1831787932301545,#EE9A00,0.08863258361816406,Theatre Research International
0ADB27A8,0.3305782137923554,0.026781153265745983,#EE9A00,0.3162510395050049,Journal of Art & Design Education
0419AB62,0.8408413202913828,0.6952160138037621,#8B0000,0.5069079399108887,International Journal of Leprosy and Other Mycobacterial Diseases
090ADB1B,0.07816896257834832,0.313308165046896,#EE9A00,0.23326903581619263,Philosophical Papers
08B62F0A,0.26183342860300923,0.7376151279707477,#2dffff,0.6300717890262604,Archives of Acoustics
0772F20A,0.1859524853851584,0.7591116938397996,#663788,0.40872687101364136,Acta Numerica
068BDE2F,0.4365745817751009,0.811585630721761,#2dffff,0.38408756256103516,Minerals & Metallurgical Processing
062B917F,0.4569836383738456,0.7241525468347859,#0001fa,0.443733274936676,Journal of Polymer Research
02B9756B,0.4929394841629361,0.2455325362542901,#CDC673,0.5543946325778961,General Hospital Psychiatry
0112725D,0.3005809836726871,0.4069938768422626,#ffff0c,0.2710910439491272,Journal of Management Inquiry
05E6ACFC,0.38365326257182425,0.5899617610383597,#FF6600,0.4769389033317566,Photogrammetric Engineering and Remote Sensing
0A8AD331,0.6603179135092759,0.7642780834791645,#20c157,0.3211315870285034,Revista Ciencia Agronomica
046D9958,0.5954166876617393,0.29029019613020984,#8B6508,0.29199641942977905,Journal of Hospital Marketing & Public Relations
001E722C,0.681154881901588,0.1762749366278452,#CDC673,0.5655642151832581,Journal of Neurosurgery
09E1FA29,0.5229114214838082,0.15138509442746473,#8B6508,0.3964231014251709,"Journal of Religion, Spirituality & Aging"
0894FF97,0.2520914794847567,0.17605940336054865,#ffff0c,0.40616124868392944,Journal of Broadcasting & Electronic Media
